100
3713
85,65,95
21,32,10
48,17,100
83,3,61
0,28,99
40,99,71
97,43,95
87,85,76
6,16,29
46,98,5
65,84,88
98,6,4
24,55,63
95,38,33
77,39,25
42,80,60
52,77,28
23,65,19
49,71,51
72,18,26
38,84,30
69,82,3
33,6,85
15,2,12
99,79,59
12,21,25
25,74,97
81,97,4
23,47,54
82,19,9
39,58,88
80,28,85
28,62,11
31,77,16
72,76,13
53,89,100
53,96,4
58,20,90
33,2,90
27,41,4
5,22,24
66,51,4
33,82,8
3,55,20
53,8,63
24,23,97
69,77,1
12,36,93
2,69,76
13,97,75
82,3,23
79,70,18
38,3,49
75,7,74
88,60,9
92,84,73
10,54,66
25,66,40
60,69,52
97,82,10
77,64,53
79,44,66
32,82,62
68,57,56
60,46,13
60,38,32
84,48,10
86,74,54
24,34,55
38,9,96
48,88,19
27,21,21
11,90,11
2,50,10
53,10,78
89,95,61
80,81,13
37,6,25
64,38,21
74,77,79
49,25,23
67,53,69
68,64,17
27,66,42
33,19,54
78,9,23
71,90,13
39,28,68
41,92,39
75,67,85
19,16,57
51,84,72
4,52,96
49,80,84
44,14,49
49,92,73
50,64,17
33,4,36
21,45,34
49,21,13
54,40,66
85,91,65
68,96,77
16,45,16
30,89,41
64,39,79
8,90,44
41,23,48
3,45,14
57,94,14
79,49,80
18,34,80
41,3,36
17,19,63
74,50,6
45,15,20
9,23,21
37,64,31
70,67,11
48,25,5
47,5,97
86,23,90
17,64,60
44,82,2
17,56,53
79,1,7
80,11,90
72,48,69
88,19,27
49,67,55
4,15,59
9,2,58
49,19,68
91,64,12
53,81,62
66,60,6
93,41,74
59,2,66
42,52,50
51,56,83
64,66,40
1,16,54
3,7,58
87,61,20
27,28,44
69,22,97
22,66,5
24,26,96
45,69,34
34,20,23
38,85,7
44,87,79
69,90,98
59,77,18
31,4,38
63,73,69
37,95,96
25,20,91
16,65,32
59,99,22
59,37,71
27,81,37
10,51,86
1,11,81
54,42,84
35,5,52
38,42,57
8,68,63
4,84,34
70,44,23
56,4,13
28,31,91
88,41,10
37,43,32
64,97,27
95,32,86
1,71,59
22,84,62
9,54,22
95,11,7
18,40,22
24,28,51
81,66,39
50,30,7
61,26,44
78,27,14
38,29,68
66,52,96
78,61,30
36,56,46
97,75,12
90,99,68
25,81,50
3,31,87
78,93,66
87,72,35
66,10,2
25,76,81
68,55,53
66,91,97
75,89,72
23,80,70
1,5,100
44,8,49
18,87,39
18,74,56
46,41,61
4,66,6
13,35,52
85,2,22
13,77,72
18,2,35
3,46,93
19,64,100
29,83,57
10,29,77
3,33,76
72,47,4
97,33,40
13,46,28
19,62,84
6,81,75
97,84,2
98,3,51
86,32,35
48,43,46
52,47,80
23,19,70
30,16,72
38,30,79
24,50,66
11,56,51
0,53,84
36,51,15
37,38,82
20,86,92
34,39,9
81,62,86
77,92,27
5,31,52
80,56,85
17,67,50
35,68,83
38,5,78
44,42,84
84,63,61
68,98,34
98,79,81
49,57,54
15,62,92
13,43,26
64,95,5
22,34,29
32,79,61
80,63,83
15,32,45
26,79,46
56,95,25
18,9,97
36,69,25
76,57,38
36,89,22
39,70,95
5,85,47
69,75,92
13,2,11
14,59,86
78,77,68
85,14,93
52,36,59
15,13,51
13,50,95
30,94,54
3,64,66
6,77,92
89,92,35
69,70,88
57,56,74
15,9,33
8,24,19
58,38,14
98,28,24
8,58,85
3,61,41
74,68,21
48,58,18
80,27,8
91,84,36
16,0,29
54,67,34
80,65,58
96,73,16
81,52,17
33,0,66
78,81,35
94,73,97
66,90,44
47,68,86
53,23,25
97,4,3
70,0,50
1,7,18
94,88,73
54,22,10
73,0,63
19,94,20
51,61,54
83,8,97
24,61,24
33,59,43
7,29,30
56,31,69
82,25,54
61,80,4
40,53,89
2,73,16
37,24,21
61,8,88
55,32,59
72,65,24
16,29,18
46,11,23
64,72,14
6,13,12
48,15,1
85,52,76
83,14,33
90,70,57
58,43,26
86,37,41
43,53,51
32,99,26
45,64,90
8,4,80
54,88,22
8,78,49
94,36,32
46,23,66
71,67,32
25,99,45
91,45,12
30,85,82
82,72,49
51,80,27
72,34,89
8,43,22
14,38,36
64,84,2
50,56,59
90,82,28
30,74,32
35,4,84
10,87,94
4,38,68
3,11,79
90,19,9
55,34,17
58,98,80
83,48,39
76,39,44
68,70,21
5,6,62
28,16,17
22,21,62
97,25,24
7,15,76
60,71,66
51,29,78
27,13,28
59,89,97
73,57,32
62,63,92
55,92,12
36,14,90
56,12,58
87,20,50
39,81,41
24,32,68
8,59,30
40,19,87
13,93,68
56,55,8
5,10,38
71,47,4
58,4,24
71,91,77
99,30,23
99,55,30
28,63,25
70,4,52
1,17,53
90,74,100
43,79,55
88,51,86
47,10,7
20,81,40
13,81,14
88,80,42
95,9,57
62,79,35
48,80,23
27,71,4
62,14,71
8,3,33
1,50,85
98,71,84
7,73,61
83,68,99
22,30,73
65,78,19
26,6,59
61,69,49
76,77,78
42,79,2
18,77,44
76,65,79
15,73,85
34,56,40
63,79,68
71,44,24
96,9,29
74,51,6
5,46,96
91,61,62
51,96,60
79,60,95
38,32,100
75,93,1
19,14,51
33,10,70
24,85,44
43,94,92
57,86,31
45,37,81
89,16,40
13,54,86
81,30,31
21,50,43
93,83,64
75,8,77
9,3,31
14,47,73
64,5,81
77,50,92
87,40,92
57,54,2
60,35,49
55,57,89
65,51,52
85,26,67
91,36,91
86,50,41
75,15,60
51,93,62
64,80,9
94,38,93
78,98,15
92,54,29
56,19,85
61,96,24
21,82,12
29,58,55
43,9,34
7,74,29
12,68,81
71,46,25
67,38,93
19,95,31
22,0,97
53,62,21
20,84,85
37,14,62
71,57,35
98,64,97
5,77,38
51,49,60
95,16,63
94,35,88
12,58,86
34,11,74
54,31,43
55,69,33
14,40,57
83,38,22
27,44,42
96,91,36
92,86,5
84,98,52
77,33,74
32,87,48
72,42,37
25,57,43
36,41,3
11,68,42
64,6,43
66,3,31
84,95,50
37,80,31
72,90,40
27,62,72
16,24,4
19,36,85
66,1,62
9,67,46
44,51,50
65,89,15
37,11,59
76,38,56
59,90,51
99,6,98
80,26,72
29,92,66
86,2,88
1,12,27
36,96,100
30,33,17
13,10,26
95,69,28
55,49,18
52,79,74
50,65,91
15,11,99
32,13,98
38,50,20
83,80,86
39,94,83
19,50,77
11,6,12
40,9,79
53,24,20
14,57,100
86,96,84
59,19,98
73,53,98
57,72,95
10,83,87
95,53,93
42,7,17
2,21,37
2,24,69
0,97,53
53,55,70
57,66,3
68,79,17
37,75,38
16,17,3
19,20,64
80,95,69
37,94,90
32,97,15
42,51,39
26,9,58
74,15,96
8,31,67
12,31,56
84,69,8
19,44,23
79,76,49
37,19,37
51,45,29
31,38,11
90,13,35
25,21,88
78,71,40
20,68,40
84,88,78
44,67,62
3,5,43
14,56,44
34,88,71
33,79,89
47,4,86
90,34,45
18,55,38
16,39,89
58,83,57
76,87,57
13,1,27
18,69,45
53,16,74
10,9,32
38,0,90
50,18,7
30,35,39
99,93,11
78,83,58
77,79,99
31,51,67
2,61,17
57,0,48
46,50,43
91,81,89
74,81,69
42,17,42
97,95,100
46,38,87
8,69,74
75,29,94
64,76,92
72,67,66
14,41,4
50,84,20
55,81,65
44,35,18
12,81,62
78,90,39
96,77,76
75,53,54
86,90,19
99,5,50
93,56,73
4,12,60
91,68,99
10,46,60
98,42,70
58,18,44
49,74,33
